id,name,lat,lon,score_weather
1,Mont Saint Michel,48.6359541,-1.511459954959514,92.98571428571428
2,St Malo,48.649518,-2.0260409,92.87142857142857
3,Bayeux,49.2764624,-0.7024738,98.02857142857142
4,Le Havre,49.4938975,0.1079732,97.04285714285714
5,Rouen,49.4404591,1.0939658,96.24285714285715
6,Paris,48.8588897,2.3200410217200766,94.31428571428572
7,Amiens,49.8941708,2.2956951,92.72857142857143
8,Lille,50.6365654,3.0635282,97.44285714285715
9,Strasbourg,48.584614,7.7507127,88.61428571428571
10,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,81.3
11,Colmar,48.0777517,7.3579641,84.98571428571428
12,Eguisheim,48.0447968,7.3079618,80.51428571428572
13,Besancon,47.2380222,6.0243622,86.64285714285714
14,Dijon,47.3215806,5.0414701,95.37142857142857
15,Annecy,45.8992348,6.1288847,95.9
16,Grenoble,45.1875602,5.7357819,98.65714285714286
17,Lyon,45.7578137,4.8320114,96.24285714285715
18,Gorges du Verdon,43.7496562,6.3285616,99.71428571428571
19,Bormes les Mimosas,43.1506968,6.3419285,99.38571428571429
20,Cassis,43.2140359,5.5396318,99.78571428571429
21,Marseille,43.2961743,5.3699525,99.72857142857143
22,Aix en Provence,43.5298424,5.4474738,99.9
23,Avignon,43.9492493,4.8059012,99.62857142857143
24,Uzes,44.0121279,4.4196718,99.57142857142857
25,Nimes,43.8374249,4.3600687,99.7
26,Aigues Mortes,43.5658225,4.1912837,99.68571428571428
27,Saintes Maries de la mer,43.4522771,4.4287172,99.64285714285714
28,Collioure,42.52505,3.0831554,99.75714285714285
29,Carcassonne,43.2130358,2.3491069,99.34285714285714
30,Ariege,42.9455368,1.4065544156065486,99.88571428571429
31,Toulouse,43.6044622,1.4442469,96.54285714285714
32,Montauban,44.0175835,1.3549991,95.32857142857142
33,Biarritz,43.471143749999996,-1.552726590666314,97.48571428571428
34,Bayonne,43.4945144,-1.4736657,97.41428571428571
35,La Rochelle,46.1591126,-1.1520434,91.67142857142858
